Name,State
"Aditya Degree and PG College,  Dabagardens, Visakhapatnam",Andhra Pradesh
Sri Sai Madhavi Degree College,Andhra Pradesh
"SRI SAI DEGREE COLLEGE, TANUKU, W.G.DISTRICT",Andhra Pradesh
Aditya B.A & K.R Degree  and  PG College,Andhra Pradesh
"Hazarath Ameeruddin College of Education, Giddaluru",Andhra Pradesh
MRR COLLEGE OF MCA,Andhra Pradesh
"SRI GOWTHAMI DEGREE COLLEGE, CHIMAKURTHY, ",Andhra Pradesh
"Sairam Vidyanikethan College of Education, Penukonda",Andhra Pradesh
WESTIN COLLEGE OF HOTEL MANAGEMENT,Andhra Pradesh
VENKATARAMA DEGREE COLLEGE,Andhra Pradesh
P.R.P.M. DEGREE COLLEGE,Andhra Pradesh
SRI SRINIVASA DEGREE COLLEGE,Andhra Pradesh
"Kakinada Institute of Engineering & Technology for Women, Yanam Road, Tallarevu(M), Korangi, Kakinada. PIN-533461.  (CC-JN))",Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, DORNALA",Andhra Pradesh
VIDYANJALI DEGREE & PG COLLEGE,Andhra Pradesh
"Sri Venkateswara Degree College, Porumamilla",Andhra Pradesh
Ali College of Education,Andhra Pradesh
"CHAITANYA COLLEGE OF NURSING, MARKAPUR",Andhra Pradesh
"G.M. College of Education, Nandyal",Andhra Pradesh
"Space Degree College for Women, Kadiri",Andhra Pradesh
"Narayana B.P.Ed. College, Tadipatri",Andhra Pradesh
MAHARAJAHS COLLEGE OF PHARMACY,Andhra Pradesh
SAPTAGIRI DEGREE COLLEGE,Andhra Pradesh
KAKINADA SRI ADITYA DEGREE COLLEGE ,Andhra Pradesh
SR BUGGARAMESWARA DEGREE COLLEGE ORVAKAL,Andhra Pradesh
D.S.R. HINDU COLLEGE OF LAW,Andhra Pradesh
MGR COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
ANU BSC MLT COLLEGE,Andhra Pradesh
GOWTHAMI COLLEGE OF NURSING,Andhra Pradesh
B.J.T.DEGREE COLLEGE,Andhra Pradesh
Thotakura RamaKotaiah College of Education,Andhra Pradesh
MARUTI DEGREE COLLEGE,Andhra Pradesh
PRATHIBA COLLEGE OF EDUCATION,Andhra Pradesh
Yalamarthy Inst. Of Sciences,Andhra Pradesh
DR ANJIREDDY COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
SS&N COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
"DR VBR COLLEGE OF PHYSIOTHERAPY, TIRUPATI",Andhra Pradesh
"LAKSHMI COLLEGE OF BSC MEDICAL LAB TECHNOLOGY, TIRUPATI",Andhra Pradesh
DR RANJAN BABU COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
"K.S.R & K.R.K College of Education, Tenali",Andhra Pradesh
GANDHIJI MAHILA KALASALA,Andhra Pradesh
"Akshara College of Education, Gundlapalli Village, Maddipadu Mandal, Prakasam District",Andhra Pradesh
S.G.S. (SMT. GENTELA SAKUNTALAMMA) COLLE,Andhra Pradesh
SPY Reddy College for Women,Andhra Pradesh
Vinukonda B.Ed. College,Andhra Pradesh
Nagarjuna College of Education,Andhra Pradesh
IMMACULATE DEGREE COLLEGE,Andhra Pradesh
AVUTHU AMMI REDDY AND BONTHU MALLA REDDY,Andhra Pradesh
"Gayatri Degree College, Payakarao peta, Vsp.",Andhra Pradesh
SREE SOWJANYA COLLEGE OF NURSING TIRUPATI,Andhra Pradesh
A S COLLEGE OF NURSING,Andhra Pradesh
Sri Sarada Niketanam Oriental College,Andhra Pradesh
"Gayatri Degree College, Buchayyapeta",Andhra Pradesh
"Chaitanya Degree College, S.Kota, Vizianagaram.",Andhra Pradesh
"Pratibha Degree College, New colony, Puritipenta, Gajapatinagaram, Vizianagaram",Andhra Pradesh
"SANKAR REDDY BED COLLEGE, BESTAVARIPETA",Andhra Pradesh
"VIKAS DEGREE COLLEGE, MANDAVALLI",Andhra Pradesh
University College of Physical Education and Sports Sciences,Andhra Pradesh
S.P.M.H. COLLEGE OF EDUCATION,Andhra Pradesh
"DCRM Degree College, Inkollu",Andhra Pradesh
"Fatima College of Education, Nadikudi",Andhra Pradesh
"ML College of Pharmacy, Singarayakonda",Andhra Pradesh
V.S.R. GOVT. DEGREE & PG COLLEGE,Andhra Pradesh
"University College of Arts, Commerce and Law",Andhra Pradesh
"A.L.College of Education, Guntur",Andhra Pradesh
"AMG Degree College for Women, Chilakaluripeta",Andhra Pradesh
"Andhra Muslim College, Guntur",Andhra Pradesh
"IASE Govt. College of Education, Kurnool",Andhra Pradesh
"GOVERNMENT MEDICAL COLLEGE,MACHILIPATNAM",Andhra Pradesh
"Career Degree College, Guntur",Andhra Pradesh
"DRNSCVS College, Chilakaluripeta",Andhra Pradesh
"T.R.R. & S. Degree College, Piduguralla",Andhra Pradesh
"Erigineni Tirupati Naidu & Lakshmamma Degree College, Pamur",Andhra Pradesh
"Andhra Muslim College of Education, Guntur",Andhra Pradesh
"G.V.R.S Institute for Professional Studies, Guntur",Andhra Pradesh
Miriam Degree College,Andhra Pradesh
"Indira Priyadarsni Law College, Ongole",Andhra Pradesh
"Navya Chaitanya College of Education, Vinukonda",Andhra Pradesh
"N.R.K. & K.S.R. Gupta Degree College, Tenali",Andhra Pradesh
GITAMS Business and IT School,Andhra Pradesh
